LA_order,New_geog_code,geog_l,geog_c,geog_n,OC2_12mths,OC2_10to17,OC2_convicted,OC2_submisuse,OC2_subint,OC2_suboffint,OC2_immunisation,OC2_teethcheck,OC2_healthassmt,OC2_U5,OC2_devassmt,OC2_5to16,OC2_SDQ,OC2_SDQnormal,OC2_SDQborderline,OC2_SDQconcern,OC2_SDQaverage
1,E92000001,NATIONAL,999,ENGLAND,49750,35110,1580,2040,990,690,41980,41490,44490,4730,3900,38010,28810,14240,3580,10980,14.1
2,E12000001,REGION,A,NORTH EAST,3050,2070,130,150,120,20,2630,2540,2790,350,270,2360,1860,870,220,760,14.7
15,E12000002,REGION,B,NORTH WEST,9410,5940,230,300,140,110,8560,7720,8580,1170,880,7270,5540,2990,690,1860,13.1
39,E12000003,REGION,C,YORKSHIRE AND THE HUMBER,5350,3630,170,170,80,70,4480,4450,4910,580,540,4140,2900,1300,360,1240,14.7
55,E12000004,REGION,D,EAST MIDLANDS,3630,2530,90,150,90,30,3240,3110,3240,400,370,2740,1960,840,250,860,15.2
65,E12000005,REGION,E,WEST MIDLANDS,6890,4510,170,200,60,110,5470,5670,5990,810,670,5300,4080,2070,490,1520,13.9
80,E12000006,REGION,F,EAST OF ENGLAND,4330,3300,160,250,50,40,3760,3620,3810,270,210,3330,2650,1460,350,840,13.1
92,E12000007,REGION,G,LONDON,6380,5140,280,370,200,140,5210,5330,5860,360,320,4660,3910,2050,480,1390,13.7
93,E12000007,REGION,H,INNER LONDON,2690,2180,140,190,110,60,2250,2270,2520,140,120,2000,1650,860,200,590,13.7
108,E12000007,REGION,I,OUTER LONDON,3680,2960,140,190,90,80,2970,3060,3340,220,210,2650,2260,1180,280,800,13.7
128,E12000008,REGION,J,SOUTH EAST,6740,5050,200,250,130,90,5460,5830,5870,510,470,5110,3580,1650,460,1480,14.6
148,E12000009,REGION,K,SOUTH WEST,3970,2930,170,210,130,70,3180,3220,3440,300,170,3110,2340,1010,300,1040,15.4
95,E09000001,LA,201,City of London,7,7,0,0,0,0,7,7,7,0,0,x,x,x,x,0,7
94,E09000007,LA,202,Camden,127,111,14,27,27,0,119,118,125,7,6,86,84,42,11,31,13.8
117,E09000011,LA,203,Greenwich,351,260,13,35,16,14,325,327,350,21,21,283,262,139,24,99,14
96,E09000012,LA,204,Hackney,223,178,14,24,x,19,176,166,201,12,12,172,134,63,15,56,14.7
97,E09000013,LA,205,Hammersmith and Fulham,135,115,6,8,x,x,133,133,133,x,x,101,62,38,6,18,11.7
99,E09000019,LA,206,Islington,228,187,14,13,13,0,222,189,225,16,16,153,145,80,14,51,13.4
100,E09000020,LA,207,Kensington and Chelsea,58,54,x,x,x,0,51,56,57,0,0,38,33,22,x,x,10.5
101,E09000022,LA,208,Lambeth,294,231,15,39,11,23,119,220,246,17,13,224,121,76,13,32,11.9
102,E09000023,LA,209,Lewisham,318,261,17,13,13,0,255,286,311,15,15,247,203,98,28,77,13.9
104,E09000028,LA,210,Southwark,328,255,21,25,16,7,296,291,306,15,13,265,251,119,35,97,14.6
105,E09000030,LA,211,Tower Hamlets,183,148,x,7,7,0,128,120,157,12,12,127,80,40,11,29,13.9
106,E09000032,LA,212,Wandsworth,156,116,12,17,8,9,141,122,150,14,14,110,88,41,10,37,15.4
107,E09000033,LA,213,Westminster,110,91,0,x,x,0,110,108,109,x,x,81,80,49,11,20,12.3
109,E09000002,LA,301,Barking and Dagenham,286,211,14,x,x,0,260,271,249,24,24,211,163,92,24,47,13.1
110,E09000003,LA,302,Barnet,219,174,10,x,0,0,208,177,212,18,18,151,106,60,13,33,12.9
111,E09000004,LA,303,Bexley,165,142,x,x,x,0,140,144,164,x,x,120,117,58,8,51,14.5
112,E09000005,LA,304,Brent,219,174,16,34,x,19,157,194,205,11,11,159,149,45,11,93,19.9
113,E09000006,LA,305,Bromley,167,138,6,12,9,x,162,146,162,11,11,124,118,58,13,47,13.7
114,E09000008,LA,306,Croydon,489,431,27,0,0,0,327,262,325,15,12,302,178,118,21,39,10.8
115,E09000009,LA,307,Ealing,256,206,12,30,16,11,240,230,255,11,11,193,177,101,22,54,12.7
116,E09000010,LA,308,Enfield,233,181,7,x,x,0,165,167,218,18,16,167,151,78,17,56,13.9
98,E09000014,LA,309,Haringey,307,238,9,x,x,x,306,251,285,20,x,227,201,106,20,75,13.8
118,E09000015,LA,310,Harrow,103,85,x,7,x,x,79,95,96,x,x,73,68,35,13,20,13.3
119,E09000016,LA,311,Havering,147,116,x,14,8,6,145,140,134,8,8,121,112,63,15,34,12.8
120,E09000017,LA,312,Hillingdon,193,151,0,x,0,0,141,136,178,17,15,127,120,74,15,31,11.7
121,E09000018,LA,313,Hounslow,174,143,x,8,8,0,122,167,159,14,14,121,121,58,21,42,13.6
122,E09000021,LA,314,Kingston upon Thames,72,61,x,x,x,0,52,66,68,x,x,54,0,0,0,0,0
123,E09000024,LA,315,Merton,94,75,x,8,x,x,77,83,90,x,x,63,59,29,9,21,14.6
103,E09000025,LA,316,Newham,218,186,10,0,0,0,183,204,209,x,x,168,166,85,21,60,13.8
124,E09000026,LA,317,Redbridge,126,94,x,x,x,0,67,94,119,8,x,94,80,46,9,25,12.3
125,E09000027,LA,318,Richmond upon Thames,60,58,x,x,x,0,51,54,49,0,0,40,33,19,x,x,11.4
126,E09000029,LA,319,Sutton,148,104,x,x,x,0,121,138,143,14,14,111,108,48,13,47,15
127,E09000031,LA,320,Waltham Forest,182,155,13,19,x,17,128,172,162,11,11,140,138,63,23,52,14.4
66,E08000025,LA,330,Birmingham,1323,912,42,35,11,22,1246,1243,1278,120,104,1029,929,483,124,322,13.4
67,E08000026,LA,331,Coventry,420,308,21,30,7,23,356,407,398,42,42,319,295,149,36,110,14.3
68,E08000027,LA,332,Dudley,552,337,16,30,17,13,513,490,488,67,67,420,335,185,38,112,13.5
70,E08000028,LA,333,Sandwell,415,274,13,7,0,x,406,366,374,54,38,321,173,95,25,53,12.6
72,E08000029,LA,334,Solihull,261,182,x,8,0,6,247,246,257,25,25,203,131,76,15,40,12.7
76,E08000030,LA,335,Walsall,502,272,x,15,11,x,413,426,429,98,81,369,305,155,36,114,14.2
78,E08000031,LA,336,Wolverhampton,518,320,13,0,0,0,424,478,432,64,59,407,380,185,47,148,14.4
24,E08000011,LA,340,Knowsley,207,132,7,15,x,x,199,204,205,23,23,165,165,106,19,40,11.2
26,E08000012,LA,341,Liverpool,783,482,26,10,0,0,598,183,604,121,97,585,34,19,7,8,11.2
32,E08000013,LA,342,St. Helens,325,184,13,10,6,x,325,317,303,45,45,248,209,111,38,60,12.7
31,E08000014,LA,343,Sefton,336,210,9,16,x,10,284,246,299,49,48,241,221,125,17,79,13
38,E08000015,LA,344,Wirral,497,318,x,x,0,0,431,416,408,57,56,384,249,164,30,55,11
18,E08000001,LA,350,Bolton,430,251,11,6,x,x,428,416,424,69,69,326,270,144,29,97,13.2
19,E08000002,LA,351,Bury,240,140,9,x,x,x,226,212,221,32,32,183,162,88,16,58,12.9
27,E08000003,LA,352,Manchester,912,631,27,79,40,31,828,849,847,58,55,746,681,373,82,226,12.8
28,E08000004,LA,353,Oldham,328,189,12,20,18,x,311,267,282,58,50,246,138,73,17,48,13.6
29,E08000005,LA,354,Rochdale,370,232,8,x,x,x,367,336,351,50,50,290,208,131,15,62,12.4
30,E08000006,LA,355,Salford,397,246,15,15,10,x,378,323,385,60,56,294,237,120,29,88,13.7
33,E08000007,LA,356,Stockport,211,137,x,17,7,9,194,175,192,25,23,158,136,76,14,46,13
34,E08000008,LA,357,Tameside,339,236,22,0,0,0,270,257,304,39,6,258,241,151,24,66,12.4
35,E08000009,LA,358,Trafford,267,168,6,x,0,x,248,248,263,25,24,220,213,139,28,46,10.9
37,E08000010,LA,359,Wigan,344,214,x,10,10,0,338,330,341,30,30,293,289,132,40,117,14.9
40,E08000016,LA,370,Barnsley,193,123,8,8,8,0,190,185,191,31,31,141,99,50,14,35,13.7
43,E08000017,LA,371,Doncaster,353,261,11,11,x,7,344,307,318,22,19,292,268,111,29,128,15.3
51,E08000018,LA,372,Rotherham,293,224,13,24,12,11,264,220,261,18,18,240,204,86,28,90,15.3
52,E08000019,LA,373,Sheffield,372,279,14,19,15,x,317,297,365,32,30,281,168,71,20,77,15.5
41,E08000032,LA,380,Bradford,667,453,25,7,0,7,615,630,622,74,74,517,262,157,28,77,12.3
42,E08000033,LA,381,Calderdale,225,167,8,x,x,0,208,216,215,20,19,184,163,79,26,58,14.2
46,E08000034,LA,382,Kirklees,458,312,20,14,x,x,448,453,445,41,40,363,320,147,48,125,14.2
47,E08000035,LA,383,Leeds,939,649,23,25,8,10,769,827,892,81,77,745,552,260,63,229,14.6
53,E08000036,LA,384,Wakefield,382,216,0,0,0,0,19,188,290,79,56,260,56,x,x,23,15.8
5,E08000020,LA,390,Gateshead,249,172,11,9,9,0,247,234,246,20,20,194,150,67,15,68,15.6
8,E08000021,LA,391,Newcastle upon Tyne,343,248,10,14,6,8,325,300,328,39,39,265,158,66,16,76,15.6
9,E08000022,LA,392,North Tyneside,187,142,13,27,25,x,171,171,178,13,13,147,116,60,14,42,14.3
12,E08000023,LA,393,South Tyneside,205,152,8,18,12,6,196,193,205,21,21,160,154,67,13,74,15.9
14,E08000024,LA,394,Sunderland,316,211,17,15,12,x,218,214,273,42,41,233,148,85,18,45,12.9
149,E06000022,LA,800,Bath and North East Somerset,98,79,x,x,x,x,89,73,81,x,x,78,70,23,10,37,16.5
151,E06000023,LA,801,"Bristol, City of",477,371,28,0,0,0,443,403,388,25,0,365,305,153,27,125,14.5
157,E06000024,LA,802,North Somerset,158,115,9,9,8,x,109,139,119,18,18,117,78,33,7,38,16
161,E06000025,LA,803,South Gloucestershire,111,92,0,0,0,0,104,85,97,x,x,89,69,26,8,35,16.5
6,E06000001,LA,805,Hartlepool,154,100,0,0,0,0,141,69,134,17,0,110,108,57,12,39,13
7,E06000002,LA,806,Middlesbrough,273,181,12,x,x,0,250,228,254,36,22,205,197,107,15,75,13.4
11,E06000003,LA,807,Redcar and Cleveland,146,106,11,x,0,0,141,135,144,14,14,119,109,52,19,38,14.4
13,E06000004,LA,808,Stockton-on-Tees,302,188,8,8,6,x,281,243,290,42,34,233,179,90,28,61,13.9
45,E06000010,LA,810,"Kingston Upon Hull, City of",482,269,16,17,8,9,424,341,427,88,84,352,96,45,11,40,14.7
44,E06000011,LA,811,East Riding of Yorkshire,199,141,7,8,x,7,162,169,199,11,11,158,149,80,15,54,14.2
48,E06000012,LA,812,North East Lincolnshire,196,121,8,11,6,x,194,189,193,17,17,162,141,x,x,x,19.8
49,E06000013,LA,813,North Lincolnshire,145,99,x,x,x,0,140,139,143,13,13,119,119,46,19,54,15.7
50,E10000023,LA,815,North Yorkshire,298,210,10,13,6,6,258,256,256,40,40,217,204,106,34,64,12.9
54,E06000014,LA,816,York,143,108,6,x,x,x,132,32,97,9,9,110,94,39,12,43,15.7
86,E06000032,LA,821,Luton,242,177,6,15,9,6,219,210,226,14,14,184,141,73,16,52,13.9
81,E06000055,LA,822,Bedford,181,126,x,x,0,x,157,156,158,19,19,133,95,43,8,44,14.9
82,E06000056,LA,823,Central Bedfordshire,214,136,12,15,8,7,194,203,198,22,22,155,155,83,18,54,13.8
131,E10000002,LA,825,Buckinghamshire,299,218,0,0,0,0,285,284,277,32,31,229,160,72,19,69,14.3
137,E06000042,LA,826,Milton Keynes,254,191,8,8,x,0,222,224,234,18,0,192,170,81,22,67,14.1
57,E10000007,LA,830,Derbyshire,417,298,6,13,11,x,388,367,390,50,47,309,262,102,33,127,16.2
56,E06000015,LA,831,Derby,308,213,7,12,12,0,301,259,250,38,31,230,182,72,17,93,16.3
154,E10000009,LA,835,Dorset,336,213,x,x,x,0,189,179,244,42,0,238,164,40,23,101,18.8
159,E06000029,LA,836,Poole,126,88,x,0,0,0,114,109,121,15,15,99,63,25,11,27,15.3
150,E06000028,LA,837,Bournemouth,173,135,7,55,31,24,156,150,167,11,11,139,114,50,19,45,14.9
4,E06000047,LA,840,Durham,488,317,14,8,8,0,414,425,414,49,35,406,296,111,42,143,16
3,E06000005,LA,841,Darlington,142,87,8,10,9,x,x,105,98,20,0,106,95,52,12,31,12.4
132,E10000011,LA,845,East Sussex,411,294,10,20,11,9,402,393,349,27,27,342,267,130,35,102,14.1
130,E06000043,LA,846,Brighton and Hove,311,241,8,17,x,11,285,257,293,25,25,232,178,75,18,85,15.5
133,E10000014,LA,850,Hampshire,962,654,25,0,0,0,666,807,696,107,100,746,456,232,50,174,14.1
139,E06000044,LA,851,Portsmouth,240,168,16,9,x,6,222,218,221,26,26,186,172,75,22,75,14.7
142,E06000045,LA,852,Southampton,420,238,6,11,10,0,340,304,355,52,51,340,84,45,6,33,13.6
59,E10000018,LA,855,Leicestershire,324,234,8,25,15,7,263,270,203,37,31,235,98,31,18,49,16.9
58,E06000016,LA,856,Leicester,493,283,24,30,26,x,446,451,455,85,81,353,163,80,21,62,13.8
64,E06000017,LA,857,Rutland,29,14,0,0,0,0,27,29,29,6,6,23,22,x,x,12,15.7
73,E10000028,LA,860,Staffordshire,733,510,12,37,9,26,610,595,654,67,58,560,446,213,53,180,14.4
74,E06000021,LA,861,Stoke-on-Trent,497,251,7,6,x,x,93,440,459,107,93,367,349,171,32,146,14.3
164,E06000054,LA,865,Wiltshire,318,247,14,27,7,11,312,306,309,22,22,249,137,72,11,54,14.1
162,E06000030,LA,866,Swindon,200,136,16,15,10,x,159,177,174,22,13,151,118,62,11,45,14.4
129,E06000036,LA,867,Bracknell Forest,64,55,x,8,x,x,57,59,61,x,x,50,43,19,x,x,15
146,E06000040,LA,868,Windsor and Maidenhead,67,55,x,x,x,0,66,61,66,6,6,48,43,22,x,x,14.5
144,E06000037,LA,869,West Berkshire,100,82,7,9,6,x,85,96,97,x,x,79,70,24,6,40,16.8
140,E06000038,LA,870,Reading,158,108,0,12,12,0,151,143,157,18,18,119,106,37,18,51,17.2
141,E06000039,LA,871,Slough,114,93,6,8,x,x,75,95,108,9,6,89,36,15,6,15,14.9
147,E06000041,LA,872,Wokingham,56,51,x,x,0,x,52,56,55,x,x,38,37,11,7,19,16.2
83,E10000003,LA,873,Cambridgeshire,425,330,21,133,0,0,374,373,349,21,12,324,231,102,26,103,15.3
88,E06000031,LA,874,Peterborough,257,197,8,0,0,0,232,245,243,10,10,210,117,58,15,44,13.6
23,E06000006,LA,876,Halton,189,111,9,23,13,10,169,165,175,30,30,139,123,67,8,48,13.4
36,E06000007,LA,877,Warrington,271,164,x,x,x,x,246,259,262,36,25,209,143,79,21,43,13.7
153,E10000008,LA,878,Devon,481,361,34,62,40,21,433,408,434,37,33,374,308,105,43,160,16.8
158,E06000026,LA,879,Plymouth,278,184,0,0,0,0,240,167,197,26,6,206,140,55,19,66,16.6
163,E06000027,LA,880,Torbay,212,147,7,0,0,0,177,139,211,16,16,181,101,37,15,49,16
84,E10000012,LA,881,Essex,681,555,14,0,0,0,543,522,605,40,x,524,433,200,64,169,14.2
89,E06000033,LA,882,Southend-on-Sea,162,126,11,22,7,14,102,145,140,12,11,123,50,18,11,21,15.9
91,E06000034,LA,883,Thurrock,216,175,x,0,0,0,157,194,187,x,x,158,158,89,21,48,12.7
69,E06000019,LA,884,Herefordshire,218,127,x,6,0,0,176,175,196,28,0,167,87,33,14,40,15.6
79,E10000034,LA,885,Worcestershire,489,349,11,18,x,12,146,75,224,47,33,378,49,x,x,29,19.2
135,E10000016,LA,886,Kent,1429,1196,37,26,8,17,1014,1236,1253,39,39,1037,740,373,83,284,13.8
136,E06000035,LA,887,Medway,290,200,x,11,6,x,263,213,276,25,19,229,229,90,38,101,15.6
25,E10000017,LA,888,Lancashire,1291,799,x,x,0,0,1170,1095,1203,178,x,958,766,393,101,272,13.5
16,E06000008,LA,889,Blackburn with Darwen,251,156,x,6,0,0,210,154,196,38,27,193,130,56,14,60,15.2
17,E06000009,LA,890,Blackpool,332,197,9,30,19,9,314,319,311,42,41,260,216,114,39,63,13.3
63,E10000024,LA,891,Nottinghamshire,572,419,0,24,13,11,497,475,542,48,47,459,359,163,39,157,14.9
62,E06000018,LA,892,Nottingham,440,310,15,20,0,0,419,382,388,39,39,348,253,106,42,105,14.8
71,E06000051,LA,893,Shropshire,205,141,0,0,0,0,183,100,178,17,0,164,135,67,15,53,14.4
75,E06000020,LA,894,Telford and Wrekin,244,152,x,x,x,0,238,239,196,34,31,192,160,73,19,68,14.6
20,E06000049,LA,895,Cheshire East,297,225,15,12,x,9,276,236,270,24,24,245,235,106,27,102,14.3
21,E06000050,LA,896,Cheshire West and Chester,345,241,x,0,0,0,314,282,298,35,33,262,201,91,32,78,14.1
152,E06000052,LA,908,Cornwall,291,250,6,17,10,7,274,270,280,x,x,244,202,108,22,72,13.2
22,E10000006,LA,909,Cumbria,452,280,8,15,x,7,438,429,432,49,38,368,276,136,41,99,13.7
155,E10000013,LA,916,Gloucestershire,374,258,17,12,8,x,110,324,321,30,x,298,227,103,31,93,14.6
85,E10000015,LA,919,Hertfordshire,639,499,19,21,0,x,568,532,571,42,42,476,396,229,41,126,11.6
134,E06000046,LA,921,Isle of Wight,149,99,x,x,x,x,113,100,107,21,17,102,37,16,8,13,14.9
60,E10000019,LA,925,Lincolnshire,431,311,6,10,10,0,382,413,418,36,35,329,322,123,46,153,15.8
87,E10000020,LA,926,Norfolk,740,534,34,27,13,11,730,666,662,43,43,606,553,419,91,43,10.1
61,E10000021,LA,928,Northamptonshire,616,446,23,12,x,x,512,465,565,59,57,457,296,154,36,106,13.6
10,E06000048,LA,929,Northumberland,242,167,13,31,29,0,241,220,230,32,32,177,146,59,16,71,16.1
138,E10000025,LA,931,Oxfordshire,394,299,16,33,21,6,360,371,388,31,31,295,184,85,26,73,14.4
160,E10000027,LA,933,Somerset,341,255,17,11,9,x,268,288,299,18,17,277,244,114,42,88,14.6
90,E10000029,LA,935,Suffolk,572,443,21,16,9,x,485,374,470,42,37,438,319,144,35,140,15.3
143,E10000030,LA,936,Surrey,595,475,16,33,17,12,401,511,505,29,27,435,263,126,35,102,14.5
77,E10000031,LA,937,Warwickshire,516,378,16,x,0,x,414,391,422,38,36,405,304,172,32,100,13.1
145,E10000032,LA,938,West Sussex,428,336,20,32,21,10,397,400,375,35,35,319,303,120,46,137,15.7
