New_geog_code,geog_l,geog_c,geog_n,CLA_Mar2012,CLA_2012,CLA_stp2012,CLA_male,CLA_female,CLA_U1,CLA_1to4,CLA_5to9,CLA_10to15,CLA_16over,CLA_White,CLA_Mixed,CLA_Asian,CLA_Black,CLA_EOTH,CLA_Oth,CLA_Fost,CLA_Adopt,CLA_Parent,CLA_Ocom,CLA_Secure,CLA_Ores,CLA_RSch,CLA_Miss,CLA_OthPl,CLA_ICO,CLA_FCO,CLA_FrAd,CLA_PlaceO,CLA_S20,CLA_CPG,CLA_YJLS,CLA_UASC,CLA_Moth,CLA_OwnP,CLA_OthLA,CLA_OthPP,CLA_Priv,CLA_Vol,CLA_Par,CLA_Nrep,CLA_1Pla,CLA_2PLa,CLA_3Pla,CLA_P2yrs,CLAA_InBound,CLA_Outbound,CLA_ExtPl,CLA_NetGain 
E08000022,LA,392,North Tyneside,299,411,85,174,125,16,67,73,110,33,287,x,0,x,x,0,225,24,17,x,21,6,x,0,0,48,84,x,43,121,0,0,0,0,246,x,0,29,x,17,0,187,86,26,47,197,78,125,47
E08000023,LA,393,South Tyneside,314,428,20,161,153,31,65,70,104,44,291,9,x,6,0,7,232,20,21,x,20,10,7,0,x,111,128,0,43,32,0,0,0,0,178,11,0,96,7,21,x,204,81,29,61,174,119,41,x
E08000024,LA,394,Sunderland,388,555,60,214,174,29,82,69,140,68,372,9,x,x,x,0,294,29,12,6,46,0,0,x,0,59,118,10,92,109,0,0,0,0,308,x,6,15,42,12,x,268,74,46,76,253,105,134,29
E06000022,LA,800,Bath and North East Somerset,164,246,30,101,63,9,20,26,63,46,141,18,x,x,0,x,140,7,x,6,x,x,x,x,0,16,65,0,8,75,0,0,0,0,110,x,0,43,x,x,x,125,24,15,32,78,78,52,x
E06000023,LA,801,"Bristol, City of",685,948,133,351,334,38,109,103,279,156,529,77,14,60,x,0,540,26,19,12,60,8,19,x,0,138,301,0,64,180,0,x,8,0,435,12,x,184,32,19,x,458,140,87,162,409,249,87,x
E06000024,LA,802,North Somerset,231,338,47,123,108,8,33,46,108,36,210,10,x,x,x,x,189,12,8,x,13,x,0,x,x,26,75,0,31,99,0,0,x,0,146,11,0,54,10,8,x,165,39,27,52,149,68,43,x
E06000025,LA,803,South Gloucestershire,212,308,51,121,91,9,47,38,71,47,192,10,x,7,x,0,170,7,7,10,x,7,8,0,0,51,57,0,16,88,0,0,x,0,137,x,0,65,0,7,0,144,47,21,38,139,66,157,91
E06000001,LA,805,Hartlepool,176,247,19,81,94,14,31,31,69,30,169,x,x,x,x,0,151,6,x,x,x,6,x,0,x,11,70,0,23,71,0,0,0,0,137,x,0,33,0,x,x,131,35,9,36,110,58,49,x
E06000002,LA,806,Middlesbrough,351,519,55,181,170,20,60,85,127,59,311,17,13,7,x,0,271,10,10,x,35,13,9,0,0,53,142,0,37,119,0,0,0,0,159,8,0,171,x,10,0,240,74,37,67,127,214,33,x
E06000003,LA,807,Redcar and Cleveland,172,231,21,98,74,16,28,39,65,24,165,x,x,x,x,0,143,6,x,0,8,x,8,0,0,23,72,x,37,38,0,0,0,0,87,10,x,54,14,x,0,114,50,8,18,97,69,42,x
E06000004,LA,808,Stockton-on-Tees,337,484,45,185,152,29,83,85,104,36,311,10,x,10,x,0,250,15,19,8,35,x,6,0,0,55,120,0,54,107,x,0,x,0,190,9,x,116,x,19,0,214,94,29,54,222,100,154,54
E06000010,LA,810,"Kingston Upon Hull, City of",616,809,123,331,285,34,166,144,215,57,572,26,x,x,10,x,474,23,54,14,50,x,0,0,0,144,276,7,104,82,x,0,x,0,509,20,x,32,0,54,0,407,135,74,133,389,204,65,x
E06000011,LA,811,East Riding of Yorkshire,315,449,x,164,151,22,76,54,114,49,302,7,x,x,0,0,255,x,17,0,30,x,6,0,0,94,107,0,39,75,0,0,x,0,196,x,x,96,x,17,0,208,83,24,54,242,68,277,209
E06000012,LA,812,North East Lincolnshire,154,203,x,88,66,12,48,25,43,26,152,x,0,0,x,0,117,12,x,0,23,x,0,0,0,35,62,0,30,27,0,0,0,0,139,6,x,6,x,x,0,114,28,10,34,118,24,48,24
E06000013,LA,813,North Lincolnshire,172,240,34,100,72,13,43,32,66,18,165,x,x,0,0,0,144,8,x,x,9,x,6,0,0,37,51,0,36,48,0,0,0,0,128,8,x,32,x,x,0,105,50,17,29,115,49,55,6
E10000023,LA,815,North Yorkshire,481,638,99,285,196,33,80,94,186,88,464,14,x,x,x,0,361,19,39,x,38,x,14,0,x,88,218,x,34,134,0,x,x,0,357,19,x,47,17,39,x,351,95,35,107,366,95,218,123
E06000014,LA,816,York,256,334,53,147,109,9,51,54,101,41,241,10,x,0,x,0,198,10,27,x,14,x,x,x,0,65,107,x,23,60,0,0,0,0,189,8,0,27,x,27,x,159,57,40,50,157,88,10,x
E06000032,LA,821,Luton,383,534,36,188,195,17,57,74,153,82,217,49,63,45,8,x,301,12,25,19,11,x,8,x,x,73,194,0,18,97,0,x,8,0,200,15,x,135,x,25,x,266,71,46,104,212,155,100,x
E06000055,LA,822,Bedford,216,283,41,123,93,21,48,40,60,47,133,45,12,14,10,x,171,x,10,x,20,x,x,0,0,61,66,x,8,80,0,0,x,0,113,6,x,85,0,10,0,147,50,19,23,91,120,103,x
E06000056,LA,823,Central Bedfordshire,208,290,41,120,88,14,45,32,72,45,175,10,6,6,9,x,151,x,x,20,29,x,x,0,0,67,51,0,6,84,0,0,16,0,102,x,0,96,6,x,0,139,42,27,23,88,117,164,47
E10000002,LA,825,Buckinghamshire,372,512,81,202,170,19,65,76,143,68,280,43,15,15,18,0,277,10,16,9,40,x,14,0,0,70,151,0,34,116,0,x,8,0,167,15,x,163,10,16,0,278,57,36,77,213,149,111,x
E06000042,LA,826,Milton Keynes,278,395,34,141,137,18,53,62,94,51,221,16,19,19,x,0,212,13,19,7,23,0,x,x,0,59,86,8,59,66,0,0,7,0,175,13,0,69,0,19,x,161,71,46,34,174,89,118,29
E10000007,LA,830,Derbyshire,700,937,0,373,327,45,149,121,222,163,638,43,x,x,0,11,510,47,14,39,36,46,8,0,0,110,262,0,151,175,0,x,x,0,591,0,x,94,0,14,0,490,154,55,108,463,190,332,142
E06000015,LA,831,Derby,480,650,0,274,206,33,88,101,160,98,383,54,16,14,12,x,353,31,21,22,47,x,x,0,0,79,204,x,100,93,0,0,9,0,298,15,x,144,0,21,0,308,125,46,105,234,215,62,x
E10000009,LA,835,Dorset,302,413,45,172,130,12,40,40,136,74,291,8,x,x,x,0,200,12,17,19,29,9,12,0,x,20,103,0,28,149,x,x,0,0,214,8,0,44,15,17,x,204,73,25,52,221,65,171,106
E06000029,LA,836,Poole,158,209,7,94,64,9,25,32,60,32,147,8,0,0,x,0,132,10,x,x,7,0,x,x,0,22,55,0,22,59,0,0,x,0,123,7,0,25,x,x,x,105,36,17,30,93,54,98,44
E06000028,LA,837,Bournemouth,251,342,17,124,127,27,47,45,77,55,205,25,x,x,x,11,194,6,13,9,13,6,10,0,0,49,61,0,27,112,x,x,x,0,129,x,x,104,x,13,0,190,43,18,35,120,124,49,x
E06000047,LA,840,Durham,659,886,103,379,280,51,161,147,197,103,645,x,x,0,6,0,531,29,32,x,66,0,0,0,0,83,237,0,83,256,0,0,x,0,461,x,0,149,12,32,0,369,168,122,95,492,138,364,226
E06000005,LA,841,Darlington,207,309,x,121,86,22,37,32,82,34,194,7,x,x,x,x,169,6,x,x,22,x,x,0,0,17,58,0,0,132,0,0,x,0,142,x,x,57,x,x,0,126,53,28,26,111,90,103,13
E10000011,LA,845,East Sussex,618,800,63,336,282,42,135,120,221,100,542,44,x,9,14,x,521,31,16,0,41,x,x,0,0,165,255,0,93,105,0,0,11,0,433,11,x,139,16,16,0,384,177,57,101,506,81,224,143
E06000043,LA,846,Brighton and Hove,487,692,35,263,224,30,90,104,177,86,401,56,16,11,x,0,397,33,11,x,37,x,x,0,0,113,189,0,91,93,0,x,x,0,227,7,x,238,x,11,0,295,120,71,76,169,285,46,x
E10000014,LA,850,Hampshire,1103,1524,164,616,487,41,191,188,436,247,1008,36,20,10,15,14,810,47,83,50,82,x,24,x,x,176,415,x,71,432,0,8,26,0,681,0,x,297,35,83,x,687,244,172,239,792,260,474,214
E06000044,LA,851,Portsmouth,298,425,13,169,129,14,63,65,107,49,245,24,x,7,16,x,235,6,21,x,30,x,0,x,0,64,134,0,26,70,x,x,20,0,183,6,0,73,12,21,x,209,60,29,74,149,140,32,x
E06000045,LA,852,Southampton,429,576,18,254,175,36,111,94,119,69,359,36,7,13,14,0,361,19,17,6,20,x,x,x,0,112,116,0,55,144,0,x,11,0,302,16,x,88,x,17,x,301,87,41,72,215,193,87,x
E10000018,LA,855,Leicestershire,373,543,34,205,168,35,64,63,126,85,315,27,11,0,7,13,285,12,13,18,35,x,x,x,0,68,142,0,36,127,0,0,11,0,284,x,x,72,x,13,x,262,80,31,55,279,81,308,227
E06000016,LA,856,Leicester,521,697,27,267,254,39,105,102,178,97,379,73,25,31,8,x,404,17,21,18,44,x,x,0,8,130,229,x,46,113,0,x,x,0,399,49,0,42,x,21,8,353,98,69,116,305,191,78,x
E06000017,LA,857,Rutland,29,46,x,16,13,x,x,10,8,x,26,x,0,0,x,0,24,x,x,0,0,0,0,0,0,x,10,0,x,12,0,0,x,0,19,x,0,x,0,x,0,19,9,x,7,13,12,15,x
E10000028,LA,860,Staffordshire,876,1118,108,483,393,43,151,168,304,210,752,50,31,x,19,21,666,22,43,29,101,7,7,x,0,119,371,x,110,273,0,x,30,0,471,x,x,358,0,43,x,556,192,126,146,640,213,621,408
E06000021,LA,861,Stoke-on-Trent,440,601,48,231,209,33,80,91,160,76,372,26,18,13,8,x,323,20,30,9,50,x,x,x,x,97,201,x,61,78,0,x,11,0,246,0,x,156,x,30,x,273,111,54,68,233,182,121,x
E06000054,LA,865,Wiltshire,416,558,47,218,198,22,83,79,160,72,380,18,x,x,11,x,322,16,24,10,29,x,11,x,0,86,124,0,29,175,x,0,6,0,259,0,x,117,13,24,x,266,89,61,80,309,90,162,72
E06000030,LA,866,Swindon,253,332,37,129,124,7,39,33,99,75,223,8,x,x,x,14,204,x,11,10,8,10,6,x,0,48,90,0,8,106,0,x,x,0,180,11,x,41,7,11,x,178,47,28,56,167,82,58,x
E06000036,LA,867,Bracknell Forest,100,138,x,51,49,6,18,15,45,16,88,8,x,x,x,0,74,x,x,x,16,0,0,0,0,17,28,0,10,44,0,x,x,0,54,x,0,40,x,x,0,68,22,10,16,56,41,39,x
E06000040,LA,868,Windsor and Maidenhead,97,150,x,57,40,x,15,19,35,25,83,6,x,x,x,0,72,x,x,0,7,x,10,0,0,24,27,0,13,33,0,0,6,0,52,x,x,31,8,x,0,66,21,10,9,39,56,35,x
E06000037,LA,869,West Berkshire,124,183,x,71,53,9,15,27,47,26,111,x,x,0,x,0,100,6,x,x,6,x,x,0,0,17,48,0,12,47,0,0,10,0,84,x,0,25,7,x,0,76,41,7,30,78,40,87,47
E06000038,LA,870,Reading,238,333,10,127,111,19,59,43,86,31,157,57,10,13,x,0,193,12,7,7,9,x,x,0,0,73,78,0,25,62,0,0,6,0,115,x,0,110,x,7,0,158,55,25,44,91,135,19,x
E06000039,LA,871,Slough,172,267,28,92,80,17,39,34,45,37,98,28,20,23,x,x,145,x,0,0,21,x,0,0,0,35,58,0,16,63,0,0,16,0,72,x,0,94,x,0,0,115,42,15,15,60,107,40,x
E06000041,LA,872,Wokingham,72,108,x,45,27,x,12,13,26,19,63,6,x,0,x,x,52,x,x,x,x,x,x,0,0,17,30,0,x,22,0,0,x,0,37,0,x,23,7,x,0,42,21,9,12,23,47,45,x
E10000003,LA,873,Cambridgeshire,470,627,52,265,205,26,67,92,173,112,405,31,14,11,x,x,353,15,15,9,65,x,10,0,0,108,163,x,54,144,0,0,7,0,215,12,x,227,0,15,0,347,101,22,114,282,173,158,x
E06000031,LA,874,Peterborough,336,455,30,201,135,26,69,59,121,61,273,39,11,8,x,0,263,14,15,12,x,22,6,0,0,89,92,x,58,93,0,0,6,0,159,7,0,152,x,15,0,239,69,24,78,155,167,59,x
E06000006,LA,876,Halton,124,190,0,73,51,7,26,25,46,20,117,x,x,0,x,0,102,7,x,x,9,x,0,0,x,35,60,0,14,15,0,0,x,0,109,0,x,11,x,x,x,85,27,12,32,94,22,118,96
E06000007,LA,877,Warrington,236,354,x,122,114,15,45,49,93,34,220,9,x,x,x,0,176,6,12,7,27,7,x,0,0,57,90,x,24,63,0,x,x,0,152,x,0,68,x,12,0,154,57,25,55,148,82,118,36
E10000008,LA,878,Devon,711,1027,221,388,323,44,94,99,254,220,678,21,x,x,x,x,436,33,33,47,112,30,20,0,0,124,204,0,52,331,0,0,0,0,355,9,x,296,15,33,0,400,185,126,93,572,106,233,127
E06000026,LA,879,Plymouth,384,534,29,215,170,28,73,55,152,76,357,10,x,x,x,x,294,27,14,9,27,x,7,x,x,83,131,x,58,106,x,0,6,0,242,25,x,92,6,14,x,236,91,57,81,246,108,63,x
E06000027,LA,880,Torbay,248,351,30,142,107,13,49,52,86,47,241,x,0,x,0,x,188,10,10,17,18,x,x,0,0,51,81,0,26,87,x,x,0,0,115,x,x,119,0,10,0,143,67,38,52,155,83,49,x
E10000012,LA,881,Essex,1483,2128,271,820,663,72,232,273,561,345,1304,93,17,31,29,9,1124,47,55,109,120,12,16,0,0,227,627,x,134,489,0,x,37,0,853,23,0,527,25,55,0,1018,331,132,333,1098,338,457,119
E06000033,LA,882,Southend-on-Sea,241,344,x,126,115,8,27,55,112,39,212,9,x,9,x,x,188,11,15,x,17,7,x,0,0,44,109,0,22,65,0,x,x,0,138,9,x,62,15,15,0,162,55,24,63,112,118,108,x
E06000034,LA,883,Thurrock,239,348,16,145,94,15,28,45,96,55,176,21,17,16,7,x,195,x,x,12,x,23,x,0,0,68,73,0,7,91,0,0,25,0,131,12,x,91,x,x,0,171,47,21,43,102,136,85,x
E06000019,LA,884,Herefordshire,211,313,0,100,110,16,34,52,67,41,199,9,x,x,0,x,170,7,9,7,8,x,7,0,0,45,52,0,16,93,0,x,0,0,154,x,x,43,x,9,0,160,36,15,25,160,44,80,36
E10000034,LA,885,Worcestershire,601,785,75,338,263,31,109,112,212,137,513,44,19,x,23,0,418,34,35,29,79,0,x,x,0,83,208,x,87,219,0,x,31,0,302,x,0,252,x,35,x,401,134,66,155,431,132,361,229
E10000016,LA,886,Kent,1798,2581,237,1069,729,113,335,314,608,428,1499,87,20,44,147,x,1442,57,72,124,60,16,9,17,x,392,501,x,204,692,x,6,187,0,1280,24,9,394,x,72,18,1143,378,277,308,1555,169,1163,994
E06000035,LA,887,Medway,443,611,68,249,194,38,96,86,127,96,400,20,x,12,x,9,346,21,14,21,30,x,x,x,0,83,115,0,49,196,0,0,0,0,306,11,x,103,x,14,x,301,92,48,84,281,140,255,115
E10000017,LA,888,Lancashire,1324,1772,216,731,593,92,279,275,457,221,1209,63,36,7,9,0,945,57,134,46,105,21,16,0,0,343,609,x,180,188,x,x,x,0,669,14,x,466,36,134,0,882,269,171,353,1026,241,631,390
E06000008,LA,889,Blackburn with Darwen,358,503,49,202,156,19,85,93,115,46,297,25,24,8,x,0,276,11,29,12,25,0,x,0,x,132,131,0,36,58,0,x,x,0,244,14,0,61,7,29,x,250,79,29,81,211,133,62,x
E06000009,LA,890,Blackpool,434,540,36,246,188,34,109,88,144,59,415,10,x,x,x,x,330,14,25,15,42,8,0,0,0,113,162,x,77,81,0,0,0,0,317,0,0,92,0,25,0,306,92,36,104,267,153,75,x
E10000024,LA,891,Nottinghamshire,800,1070,139,432,368,60,171,164,266,139,716,53,6,x,17,7,619,32,23,32,70,12,11,x,0,106,235,0,132,324,0,x,19,0,691,x,17,63,x,23,x,579,159,62,126,551,216,393,177
E06000018,LA,892,Nottingham,541,741,101,281,260,36,113,101,187,104,376,95,8,36,26,0,410,32,x,13,68,9,x,x,0,73,184,0,102,177,0,x,15,0,272,x,6,238,14,x,x,380,99,62,117,180,327,102,x
E06000051,LA,893,Shropshire,205,305,64,111,94,10,29,32,87,47,196,x,x,x,x,0,142,11,x,x,37,x,8,0,0,26,69,x,13,94,0,x,x,0,156,8,x,38,0,x,0,133,48,24,39,143,51,263,212
E06000020,LA,894,Telford and Wrekin,300,416,53,149,151,27,51,64,114,44,267,23,7,x,x,0,238,16,x,x,28,x,7,0,0,42,123,x,27,104,0,0,x,0,164,0,x,127,x,x,0,213,62,24,84,160,124,87,x
E06000049,LA,895,Cheshire East,437,565,47,232,205,14,87,110,140,86,409,14,x,0,9,0,299,23,41,15,45,x,11,0,0,66,217,0,55,99,0,0,7,0,206,14,x,162,11,41,0,282,111,44,113,226,188,88,x
E06000050,LA,896,Cheshire West and Chester,364,504,57,188,175,23,62,83,146,49,351,9,0,0,x,x,288,10,16,x,34,x,12,0,x,79,177,0,34,73,0,0,0,0,249,15,0,81,x,16,x,264,70,29,89,191,161,87,x
E06000052,LA,908,Cornwall,478,718,184,270,208,38,66,75,199,100,458,14,0,0,6,0,394,11,16,9,26,x,12,x,6,104,211,x,43,119,0,0,0,0,369,x,x,80,0,16,7,327,82,69,86,413,47,97,50
E10000006,LA,909,Cumbria,600,747,108,328,272,50,119,123,217,91,576,22,x,0,x,0,479,26,43,x,30,x,16,0,0,142,260,x,71,125,0,0,x,0,462,11,x,73,7,43,0,428,120,51,118,510,64,177,113
E10000013,LA,916,Gloucestershire,461,651,99,276,185,25,85,83,144,124,406,24,10,x,8,8,358,12,34,31,25,0,x,0,0,88,132,0,46,195,0,0,20,0,296,x,0,105,24,34,0,293,116,52,86,406,43,158,115
E10000015,LA,919,Hertfordshire,1057,1511,36,585,472,57,174,179,370,277,809,122,56,48,17,x,814,30,17,56,106,13,17,x,x,228,397,0,89,340,x,x,41,0,725,7,8,288,8,17,x,696,230,131,214,773,250,175,x
E06000046,LA,921,Isle of Wight,158,245,10,83,75,x,22,22,66,44,152,x,0,x,0,x,116,x,13,6,15,0,x,0,0,19,75,0,10,53,0,x,0,0,145,0,0,0,0,13,0,112,27,19,23,132,23,33,10
E10000019,LA,925,Lincolnshire,500,715,116,271,229,38,86,83,205,88,481,7,6,x,x,0,400,21,24,13,39,0,x,0,0,61,244,0,59,135,0,x,12,0,446,x,0,24,x,24,0,335,130,35,123,442,37,319,282
E10000020,LA,926,Norfolk,1012,1398,123,523,489,69,150,143,434,216,944,40,x,12,11,0,726,48,24,15,149,14,20,x,12,104,416,x,117,370,0,x,9,0,478,0,x,440,53,24,16,704,207,101,219,751,197,175,x
E10000021,LA,928,Northamptonshire,794,1111,135,494,300,42,136,121,267,228,591,67,71,46,12,7,565,23,27,88,67,6,11,x,x,88,212,x,113,376,x,x,82,0,360,x,x,387,x,27,7,523,167,103,121,615,149,254,105
E06000048,LA,929,Northumberland,279,376,97,152,128,19,50,49,107,53,272,x,x,0,x,x,216,15,6,x,27,x,7,0,x,44,116,0,30,88,0,0,x,0,197,21,x,47,6,6,x,203,48,28,68,201,62,185,123
E10000025,LA,931,Oxfordshire,450,669,59,257,193,35,74,69,149,123,352,35,31,21,8,x,303,31,22,42,47,x,x,0,0,103,145,0,48,154,0,0,30,0,268,6,x,146,7,22,0,276,125,49,68,318,101,77,x
E10000027,LA,933,Somerset,495,775,61,264,231,44,75,75,177,124,477,14,x,x,x,0,326,18,29,36,69,14,x,0,0,125,133,0,30,207,0,0,x,0,331,13,7,95,20,29,0,279,152,61,56,409,68,148,80
E10000029,LA,935,Suffolk,781,1059,13,450,331,58,153,142,291,137,678,61,15,14,x,8,539,58,71,27,70,x,9,x,0,122,367,x,121,167,0,0,12,0,492,x,x,203,9,71,x,516,182,83,180,566,155,204,49
E10000030,LA,936,Surrey,807,1098,11,439,368,44,128,144,292,199,665,45,57,25,14,x,596,34,22,33,67,21,27,7,0,179,270,0,61,297,0,0,57,0,505,x,x,233,34,22,7,542,166,99,142,437,329,253,x
E10000031,LA,937,Warwickshire,681,949,80,401,279,48,118,95,253,166,556,38,11,12,62,x,550,21,44,39,9,7,6,x,x,130,244,x,48,256,0,0,67,0,501,0,0,128,x,44,x,436,157,87,130,425,229,269,40
E10000032,LA,938,West Sussex,673,1028,44,376,297,38,112,97,261,165,584,44,16,9,15,x,467,27,27,30,108,x,13,0,0,104,271,0,63,234,x,0,26,0,414,0,0,200,32,27,0,430,164,79,142,562,84,403,319
