New_geog_code,geog_l,geog_c,geog_n,CLA_Mar2014,CLA_2014,CLA_stp2014,CLA_male,CLA_female,CLA_U1,CLA_1to4,CLA_5to9,CLA_10to15,CLA_16over,CLA_White,CLA_Mixed,CLA_Asian,CLA_Black,CLA_EOTH,CLA_Oth,CLA_Fost,CLA_Adopt,CLA_Parent,CLA_Ocom,CLA_Secure,CLA_Ores,CLA_RSch,CLA_Miss,CLA_OthPl,CLA_ICO,CLA_FCO,CLA_FrAd,CLA_PlaceO,CLA_S20,CLA_CPG,CLA_YJLS,CLA_UASC,CLA_Moth,CLA_OwnP,CLA_OthLA,CLA_OthPP,CLA_Priv,CLA_Vol,CLA_Par,CLA_Nrep,CLA_1Pla,CLA_2PLa,CLA_3Pla,CLA_P2yrs,CLA_InBound,CLA_Outbound,CLA_ExtPl,CLA_NetGain ,,,
E08000022,LA,392,North Tyneside,305,426,80,181,124,16,43,81,112,53,291,6,0,x,x,x,248,15,7,0,26,7,x,x,0,18,146,0,39,102,0,0,0,0,258,0,x,19,19,7,x,210,66,29,56,202,102,140,38,,,
E08000023,LA,393,South Tyneside,308,453,7,158,150,27,54,67,112,48,260,7,14,9,x,14,243,23,7,x,15,15,x,0,0,18,152,0,42,96,0,0,0,0,192,9,0,92,8,7,0,206,65,37,68,176,132,61,x,,,
E08000024,LA,394,Sunderland,491,689,9,262,229,46,88,104,183,70,470,8,7,x,x,x,382,33,14,x,55,x,0,0,0,41,136,x,101,209,0,0,0,0,371,x,x,34,65,14,0,327,106,58,82,315,176,168,x,,,
E06000022,LA,800,Bath and North East Somerset,148,215,24,82,66,7,20,25,71,25,129,11,0,7,x,0,124,7,x,x,x,x,6,0,0,10,60,0,14,64,0,0,x,0,75,6,0,63,x,x,0,111,21,16,35,63,85,61,x,,,
E06000023,LA,801,"Bristol, City of",694,1003,x,355,339,38,82,111,275,188,516,101,13,46,17,x,579,20,8,7,63,x,12,0,0,57,357,0,67,208,x,0,10,0,442,19,x,191,31,8,0,500,122,72,160,437,255,63,x,,,
E06000024,LA,802,North Somerset,217,339,x,117,100,7,36,35,91,48,197,11,x,x,x,x,168,11,x,x,26,0,0,x,x,27,80,0,37,73,0,0,x,0,127,7,0,63,12,x,x,138,50,29,47,137,66,60,x,,,
E06000025,LA,803,South Gloucestershire,168,247,42,96,72,6,23,35,55,49,154,8,0,x,x,0,129,12,7,x,x,x,9,0,0,18,72,0,17,61,0,0,x,0,126,x,x,31,x,7,0,114,38,16,31,114,42,151,109,,,
E06000001,LA,805,Hartlepool,207,282,13,111,96,11,35,40,80,41,201,x,0,x,x,0,174,11,x,x,6,8,x,0,x,x,89,0,24,89,0,0,0,0,154,8,x,35,x,x,x,150,41,16,51,124,63,49,x,,,
E06000002,LA,806,Middlesbrough,353,552,26,177,176,18,54,67,146,68,308,17,12,10,x,x,259,9,15,x,57,x,8,0,0,15,186,0,34,118,0,0,x,0,150,x,0,152,32,15,0,262,58,33,85,144,209,64,x,,,
E06000003,LA,807,Redcar and Cleveland,174,248,x,94,80,13,31,32,73,25,170,x,0,x,x,0,137,12,0,x,20,0,x,0,0,8,98,0,28,40,0,0,x,0,81,6,0,83,x,0,0,115,34,25,37,74,100,38,x,,,
E06000004,LA,808,Stockton-on-Tees,381,549,32,206,175,25,80,108,115,53,344,18,6,9,x,0,276,22,22,8,41,7,x,0,0,23,187,0,57,111,x,0,x,0,189,12,x,154,x,22,0,236,115,30,59,221,137,145,8,,,
E06000010,LA,810,"Kingston Upon Hull, City of",641,849,33,351,290,34,131,163,221,92,603,18,x,x,13,0,469,23,71,17,58,x,x,0,0,40,368,0,96,135,x,x,x,0,481,18,x,64,6,71,0,443,134,64,178,424,217,68,x,,,
E06000011,LA,811,East Riding of Yorkshire,312,465,8,174,138,16,64,62,118,52,305,6,0,x,0,0,250,19,17,0,19,x,x,x,0,15,160,0,49,88,0,0,0,0,197,8,x,82,6,17,x,214,56,42,59,234,77,249,172,,,
E06000012,LA,812,North East Lincolnshire,263,367,x,157,106,32,66,67,64,34,259,x,x,0,0,0,209,12,0,x,35,x,x,0,0,49,86,0,50,75,x,x,0,0,219,x,x,36,0,0,0,176,61,26,31,188,75,49,x,,,
E06000013,LA,813,North Lincolnshire,170,251,x,96,74,8,25,47,64,26,157,x,x,0,x,0,135,14,x,x,12,0,x,0,0,18,75,0,30,47,0,0,x,0,133,6,0,28,0,x,0,114,44,12,37,117,53,79,26,,,
E10000023,LA,815,North Yorkshire,460,625,53,268,192,26,73,90,185,86,432,23,x,x,x,0,333,34,28,12,35,x,13,0,0,34,257,0,63,106,0,0,x,0,364,14,x,43,9,28,0,292,121,47,104,337,88,229,141,,,
E06000014,LA,816,York,222,298,14,121,101,6,30,45,92,49,208,10,x,x,x,0,165,11,21,x,21,x,x,0,0,16,124,0,27,55,0,0,0,0,159,8,x,28,x,21,0,153,47,22,66,128,83,27,x,,,
E06000032,LA,821,Luton,397,552,46,208,189,19,65,80,150,83,241,47,43,38,21,7,312,22,9,32,10,x,x,x,x,52,187,0,44,111,0,x,0,0,208,15,0,151,10,9,x,262,96,39,95,236,157,143,x,,,
E06000055,LA,822,Bedford,268,344,x,137,131,20,56,62,73,57,156,59,19,15,10,9,197,26,x,12,27,x,x,x,0,21,93,0,54,99,x,0,12,0,116,x,x,143,x,x,x,167,69,32,27,96,171,106,x,,,
E06000056,LA,823,Central Bedfordshire,268,366,x,146,122,11,56,68,91,42,228,32,0,x,x,0,206,14,x,15,27,x,x,0,0,35,114,0,40,79,0,0,x,0,113,x,0,140,10,x,0,155,80,33,28,113,155,179,24,,,
E10000002,LA,825,Buckinghamshire,443,565,67,235,208,20,65,90,161,107,321,53,22,26,19,x,323,16,7,7,67,10,13,0,0,47,197,0,58,138,x,x,13,0,144,25,0,257,10,7,0,325,95,23,93,206,237,135,x,,,
E06000042,LA,826,Milton Keynes,303,452,x,168,135,21,48,63,108,63,241,23,17,18,x,0,224,12,18,9,32,x,x,0,0,40,138,x,35,87,x,x,7,0,174,0,x,101,8,18,0,202,68,33,56,176,127,125,x,,,
E10000007,LA,830,Derbyshire,628,908,0,321,307,30,107,146,215,130,571,29,x,6,0,20,446,59,10,30,61,21,x,0,0,44,277,0,145,161,x,0,x,0,437,x,x,138,39,10,0,441,149,38,132,386,183,363,180,,,
E06000015,LA,831,Derby,445,622,0,259,186,29,73,112,167,64,360,48,12,18,6,x,318,41,17,x,43,10,6,6,0,39,213,x,101,84,x,0,x,0,243,16,x,161,0,17,6,320,96,29,123,178,220,65,x,,,
E10000009,LA,835,Dorset,340,503,40,166,174,13,41,46,143,97,324,12,x,x,x,0,241,11,11,30,30,10,7,0,0,10,117,0,27,185,x,0,0,0,237,16,x,57,18,11,0,230,69,41,55,263,77,216,139,,,
E06000029,LA,836,Poole,152,232,10,90,62,6,19,29,67,31,133,9,x,x,x,0,116,13,x,x,x,x,x,x,0,12,65,0,20,54,x,0,0,0,111,x,x,24,x,x,x,116,24,13,37,81,52,90,38,,,
E06000028,LA,837,Bournemouth,279,395,6,151,128,19,54,46,106,54,227,26,x,x,x,20,213,23,x,x,x,27,12,0,0,46,79,0,44,110,0,0,0,0,136,0,0,139,x,x,0,187,70,22,52,115,164,60,x,,,
E06000047,LA,840,Durham,606,889,52,340,266,69,94,136,220,87,592,x,x,0,x,0,493,27,25,6,51,0,x,x,0,23,304,0,93,185,x,0,x,0,488,x,0,71,15,25,x,393,135,78,103,485,119,425,306,,,
E06000005,LA,841,Darlington,188,288,x,107,81,12,40,29,73,34,174,x,x,0,x,6,143,14,x,0,23,x,x,0,x,16,53,0,18,101,0,0,0,0,129,0,0,51,x,x,x,135,28,25,39,115,70,100,30,,,
E10000011,LA,845,East Sussex,575,776,59,329,246,40,100,122,221,92,522,31,x,9,x,x,474,30,14,x,37,x,10,x,0,64,283,0,106,119,x,x,x,0,390,x,x,106,56,14,x,373,152,50,134,478,65,215,150,,,
E06000043,LA,846,Brighton and Hove,463,624,14,237,226,37,63,76,186,101,378,46,14,19,x,x,374,24,13,7,37,x,6,0,0,36,210,0,87,126,x,0,7,10,220,6,x,217,x,13,0,302,93,68,102,179,260,50,x,,,
E10000014,LA,850,Hampshire,1267,1658,20,698,569,58,213,243,478,275,1134,45,24,17,20,27,944,60,68,51,105,8,22,9,0,169,467,0,138,487,6,0,27,10,726,0,7,423,34,68,9,755,295,217,217,841,356,561,205,,,
E06000044,LA,851,Portsmouth,318,455,x,183,135,19,52,73,113,61,277,17,x,9,12,0,241,20,8,x,37,x,x,x,x,33,141,0,62,81,x,0,7,0,194,6,x,94,11,8,x,204,74,40,78,128,186,50,x,,,
E06000045,LA,852,Southampton,500,675,x,285,215,38,137,123,143,59,414,49,20,12,x,0,408,41,25,x,15,x,x,x,0,97,199,0,122,80,x,0,x,0,319,11,x,129,10,25,x,291,138,71,104,219,235,85,x,,,
E10000018,LA,855,Leicestershire,456,681,75,258,198,30,99,94,146,87,399,40,7,x,x,x,344,35,11,16,42,x,x,0,0,59,163,0,65,169,0,0,11,0,298,x,0,134,10,11,0,286,117,53,69,329,93,354,261,,,
E06000016,LA,856,Leicester,530,720,0,301,229,39,98,119,175,99,357,89,42,34,x,x,408,29,19,11,51,x,x,0,x,78,282,x,69,98,x,0,0,0,393,58,x,48,9,19,x,364,102,64,116,307,221,75,x,,,
E06000017,LA,857,Rutland,34,51,0,15,19,0,9,7,9,9,27,x,0,x,x,0,29,x,0,0,x,0,0,0,0,6,15,0,x,9,0,0,x,0,28,0,0,6,0,0,0,27,6,x,7,14,20,14,x,,,
E10000028,LA,860,Staffordshire,953,1309,29,521,432,34,148,236,363,172,850,53,21,x,13,11,710,36,60,32,98,7,10,0,0,91,523,0,100,233,x,x,19,0,514,x,6,372,0,60,0,667,202,84,212,698,232,720,488,,,
E06000021,LA,861,Stoke-on-Trent,536,703,40,291,245,49,127,115,149,96,475,28,11,11,x,7,360,30,64,26,46,x,x,0,x,71,278,x,80,103,0,x,7,10,300,x,0,167,0,64,x,320,147,69,83,312,221,112,x,,,
E06000054,LA,865,Wiltshire,397,605,31,216,181,21,51,78,168,79,356,19,x,7,11,x,307,17,15,12,34,x,8,0,0,37,181,0,30,146,x,x,6,0,226,x,x,136,14,15,0,259,85,53,76,279,101,172,71,,,
E06000030,LA,866,Swindon,252,376,7,143,109,8,25,44,105,70,227,9,x,6,x,x,200,7,8,13,19,x,x,0,0,30,75,0,19,124,x,x,x,0,185,6,x,49,x,8,0,162,45,45,48,194,58,64,6,,,
E06000036,LA,867,Bracknell Forest,113,156,x,53,60,10,13,20,46,24,97,10,x,x,x,0,90,x,x,x,14,x,0,0,0,x,38,0,13,56,0,x,x,0,73,x,x,33,x,x,0,73,25,15,16,69,40,62,22,,,
E06000040,LA,868,Windsor and Maidenhead,107,154,0,60,47,x,19,19,43,22,86,8,11,x,0,0,76,8,x,0,16,x,x,0,0,10,35,0,18,43,x,0,x,0,45,6,x,44,10,x,0,65,28,14,12,32,75,38,x,,,
E06000037,LA,869,West Berkshire,159,223,x,86,73,7,19,31,70,32,137,14,x,x,x,0,131,x,x,x,11,x,x,0,0,11,64,0,14,69,x,0,7,0,111,x,x,38,x,x,0,118,31,10,37,85,69,88,19,,,
E06000038,LA,870,Reading,208,293,x,111,97,9,30,46,79,44,145,41,8,13,x,0,162,13,x,8,x,15,x,0,0,10,94,0,55,48,x,0,x,0,90,7,x,100,x,x,0,134,51,23,48,64,131,34,x,,,
E06000039,LA,871,Slough,190,293,x,92,98,11,35,32,60,52,112,40,20,12,6,0,131,14,x,0,33,7,x,x,0,27,55,0,38,68,x,0,11,0,64,x,0,107,12,x,x,116,50,24,27,49,127,44,x,,,
E06000041,LA,872,Wokingham,74,109,0,48,26,x,13,6,38,15,63,x,x,0,x,x,51,x,x,0,13,0,x,0,0,13,36,0,x,20,0,0,0,0,33,x,0,30,x,x,0,45,21,8,11,23,51,72,21,,,
E10000003,LA,873,Cambridgeshire,501,708,22,269,232,26,78,109,185,103,432,36,12,12,6,x,362,34,17,x,78,x,x,0,0,97,178,0,93,132,x,0,6,0,230,41,x,204,7,17,0,336,117,48,118,289,212,234,22,,,
E06000031,LA,874,Peterborough,367,512,16,205,162,24,63,68,138,74,308,28,6,18,x,x,306,7,x,20,18,12,x,0,0,35,137,x,76,114,x,x,x,0,199,x,x,159,x,x,0,246,87,34,86,157,203,78,x,,,
E06000006,LA,876,Halton,211,268,x,118,93,12,52,46,81,20,203,x,x,0,x,0,142,12,22,x,30,0,0,0,x,39,112,0,24,35,x,0,x,0,137,x,0,44,x,22,x,148,41,22,36,135,72,113,41,,,
E06000007,LA,877,Warrington,232,314,x,127,105,12,36,45,91,48,215,11,x,0,x,x,168,7,11,8,26,8,x,0,0,31,122,0,27,52,0,0,x,0,150,x,x,65,x,11,0,155,51,26,54,154,78,129,51,,,
E10000008,LA,878,Devon,684,1015,85,395,289,35,89,117,241,202,644,30,x,x,x,0,440,40,24,24,85,30,35,x,x,77,251,0,85,271,0,0,x,0,375,11,7,257,x,24,6,415,175,94,97,573,105,269,164,,,
E06000026,LA,879,Plymouth,395,567,19,217,178,25,56,60,145,109,367,13,x,7,x,x,283,27,9,16,52,x,x,x,0,38,158,0,81,118,0,0,x,10,272,17,0,83,10,9,x,226,92,77,77,264,116,70,x,,,
E06000027,LA,880,Torbay,314,465,25,165,149,15,47,78,125,49,295,17,0,x,0,x,241,12,6,11,33,6,x,x,0,33,155,0,39,87,0,0,0,0,145,7,x,154,0,6,x,188,75,51,51,166,147,42,x,,,
E10000012,LA,881,Essex,1137,1622,53,643,494,39,119,180,465,334,987,72,17,29,26,6,856,71,16,77,96,8,9,x,0,71,580,x,137,344,x,x,51,0,707,8,x,396,x,16,x,791,242,104,295,875,258,542,284,,,
E06000033,LA,882,Southend-on-Sea,244,348,0,126,118,15,39,37,96,57,212,12,x,9,7,0,194,12,6,x,26,x,0,0,0,30,123,0,19,71,x,0,x,0,162,7,x,53,14,6,0,163,49,32,52,119,125,104,x,,,
E06000034,LA,883,Thurrock,284,386,0,172,112,12,43,49,119,61,210,23,17,21,13,0,225,7,7,9,30,x,x,0,0,53,125,0,25,81,0,0,25,0,113,6,0,139,19,7,0,213,43,28,39,99,185,84,x,,,
E06000019,LA,884,Herefordshire,242,339,x,112,130,16,48,51,84,43,227,11,0,x,x,x,185,12,11,12,15,x,6,0,0,25,93,0,32,90,x,0,0,0,153,6,x,71,0,11,0,180,49,13,35,177,65,88,23,,,
E10000034,LA,885,Worcestershire,642,900,x,375,267,41,88,137,236,140,582,39,6,x,10,0,456,38,31,33,78,x,x,x,0,43,274,0,91,234,0,0,11,0,274,19,x,266,48,31,x,409,149,84,139,482,118,373,255,,,
E10000016,LA,886,Kent,1837,2659,x,1122,715,76,241,348,657,515,1540,75,10,51,160,x,1423,117,20,118,103,18,12,26,0,134,717,0,292,688,x,x,219,10,1288,10,7,462,24,20,26,1154,436,247,350,1602,209,1050,841,,,
E06000035,LA,887,Medway,378,553,76,201,177,28,72,81,134,63,344,23,x,8,x,0,275,40,10,x,50,0,x,x,0,22,123,x,81,150,x,0,0,0,234,13,0,102,18,10,x,268,83,27,87,198,143,310,167,,,
E10000017,LA,888,Lancashire,1592,2107,165,885,707,114,353,342,546,237,1430,75,61,9,15,x,1131,80,175,37,99,57,12,0,x,297,799,0,215,277,x,0,x,10,804,14,x,568,25,175,x,1113,343,136,373,1264,315,756,441,,,
E06000008,LA,889,Blackburn with Darwen,343,468,x,203,140,25,79,97,117,25,284,15,33,x,6,0,253,37,23,6,17,x,x,0,x,63,173,0,70,37,0,0,0,0,215,39,x,51,12,23,x,213,94,36,85,169,173,91,x,,,
E06000009,LA,890,Blackpool,443,638,32,253,190,33,109,100,139,62,415,22,x,x,x,x,321,43,20,15,39,x,0,0,0,62,209,x,112,54,x,0,0,0,272,28,x,112,9,20,0,285,111,47,118,239,204,73,x,,,
E10000024,LA,891,Nottinghamshire,830,1243,27,444,386,33,146,181,296,174,737,64,x,x,21,x,626,73,7,36,80,x,7,0,0,56,332,0,161,280,x,0,21,10,506,x,9,307,0,7,0,533,200,97,182,501,329,429,100,,,
E06000018,LA,892,Nottingham,583,819,86,312,271,46,102,108,190,137,396,109,11,43,24,0,411,44,6,18,91,10,x,x,x,59,221,0,142,157,x,0,7,10,241,13,6,297,18,6,x,372,127,84,103,199,334,134,x,,,
E06000051,LA,893,Shropshire,270,354,x,143,127,11,44,59,103,53,256,x,x,x,x,x,185,7,11,11,45,x,9,0,0,12,143,0,13,102,0,0,0,0,175,11,x,69,x,11,0,188,59,23,44,153,85,285,200,,,
E06000020,LA,894,Telford and Wrekin,308,429,19,168,140,24,53,60,116,55,273,24,6,x,x,x,222,24,13,8,29,x,9,0,0,36,162,0,38,71,x,0,0,0,176,0,x,116,x,13,0,209,70,29,95,197,111,102,x,,,
E06000049,LA,895,Cheshire East,333,507,42,174,159,9,36,81,140,67,319,10,0,0,x,0,247,12,25,x,38,x,x,x,0,31,228,0,24,49,x,0,x,0,196,x,x,106,x,25,x,235,53,45,109,195,136,112,x,,,
E06000050,LA,896,Cheshire West and Chester,442,562,x,249,193,18,75,109,167,73,423,12,x,0,0,x,315,30,38,15,27,0,17,0,0,84,238,0,44,76,0,0,0,0,243,8,0,153,0,38,0,300,98,44,73,250,192,111,x,,,
E06000052,LA,908,Cornwall,443,719,160,244,199,33,44,57,212,97,423,14,x,x,x,0,353,13,15,7,31,x,11,x,7,43,221,0,55,123,x,0,0,0,333,7,x,78,0,15,8,292,81,70,75,357,64,89,25,,,
E10000006,LA,909,Cumbria,663,855,20,372,291,43,147,164,203,106,646,15,x,0,0,0,521,37,31,x,56,x,8,0,0,101,310,x,143,100,x,x,0,0,386,8,x,207,26,31,0,449,165,49,144,484,141,119,x,,,
E10000013,LA,916,Gloucestershire,477,740,71,274,203,26,76,98,153,124,441,22,x,6,x,x,378,31,20,18,21,x,x,x,x,56,165,0,68,188,0,0,8,0,304,x,0,134,12,20,x,299,77,101,82,418,55,204,149,,,
E10000015,LA,919,Hertfordshire,1010,1513,6,564,446,47,142,178,349,294,785,107,40,53,25,0,744,60,10,66,99,x,23,x,0,105,435,0,113,352,x,0,45,0,657,x,11,321,x,10,x,610,268,132,147,693,314,203,x,,,
E06000046,LA,921,Isle of Wight,190,277,20,100,90,14,26,29,71,50,175,x,0,x,0,9,137,x,11,x,26,x,x,x,0,24,89,0,13,64,0,0,0,0,120,0,0,54,x,11,x,116,47,27,26,156,29,42,13,,,
E10000019,LA,925,Lincolnshire,606,875,111,325,281,52,111,128,220,95,577,18,x,x,9,0,484,45,32,6,31,x,x,0,0,71,312,0,73,149,x,0,7,0,564,0,x,8,0,32,0,400,153,53,116,552,54,378,324,,,
E10000020,LA,926,Norfolk,1148,1590,32,619,529,61,177,208,440,262,1055,47,6,27,10,x,837,77,24,9,178,10,11,x,0,80,546,x,175,343,x,x,x,0,542,0,x,510,69,24,x,775,277,96,234,924,222,179,x,,,
E10000021,LA,928,Northamptonshire,834,1174,114,500,334,44,116,158,293,223,634,67,60,44,27,x,589,43,20,79,84,x,10,x,x,90,222,x,125,391,x,0,85,0,399,x,x,406,0,20,x,563,174,97,116,680,148,307,159,,,
E06000048,LA,929,Northumberland,326,477,12,182,144,32,69,63,115,47,311,x,x,0,x,11,260,26,7,x,19,x,x,0,0,37,113,0,42,134,0,0,0,0,185,15,0,118,x,7,0,202,85,39,63,223,102,168,66,,,
E10000025,LA,931,Oxfordshire,463,708,54,254,209,32,73,76,168,114,370,44,11,25,8,x,320,20,18,30,63,x,9,0,0,79,167,0,58,158,0,x,21,0,264,x,x,169,10,18,0,304,105,54,67,332,131,83,x,,,
E10000027,LA,933,Somerset,488,775,34,269,219,37,74,84,182,111,465,15,x,x,x,x,351,36,17,12,56,8,8,0,0,68,177,0,62,180,0,x,x,0,275,16,x,147,28,17,0,283,147,58,71,375,113,155,42,,,
E10000029,LA,935,Suffolk,723,1032,9,436,287,55,107,136,293,132,636,42,6,21,x,14,525,45,30,49,44,13,17,0,0,68,364,0,98,192,x,0,9,0,477,16,x,188,11,30,0,486,160,77,196,539,138,211,73,,,
E10000030,LA,936,Surrey,793,1195,x,434,359,32,116,129,306,210,620,63,47,29,31,x,594,43,x,31,78,15,22,x,0,84,314,0,89,302,x,0,72,0,504,x,x,250,27,x,x,542,176,74,130,449,339,284,x,,,
E10000031,LA,937,Warwickshire,690,1009,x,387,303,35,110,132,268,145,602,33,16,14,25,0,553,35,29,37,12,9,13,0,x,88,285,x,106,210,0,0,29,0,475,x,x,165,11,29,x,430,176,84,113,417,236,311,75,,,
E10000032,LA,938,West Sussex,604,966,30,348,256,34,74,74,236,186,497,52,15,24,9,7,426,27,11,17,104,x,15,0,0,45,246,0,56,256,x,0,36,0,391,x,0,194,7,11,0,414,123,67,137,488,87,420,333,,,
